accession,local_found,genbank_ok,local_length,genbank_orf5_length,sequence_identical,local_sha256,genbank_sha256,status,error
PX123103.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123102.1,True,True,603,603,True,d587232ad53a4873c7540abbe9e8638da47c740e2f32c17bfdee1394b6bfc4a6,d587232ad53a4873c7540abbe9e8638da47c740e2f32c17bfdee1394b6bfc4a6,IDENTICAL,
PX123101.1,True,True,603,603,True,b6f8f5434355a1823e566650883f3e31a69638122dc54774437719be9353115b,b6f8f5434355a1823e566650883f3e31a69638122dc54774437719be9353115b,IDENTICAL,
PX123100.1,True,True,603,603,True,b6f8f5434355a1823e566650883f3e31a69638122dc54774437719be9353115b,b6f8f5434355a1823e566650883f3e31a69638122dc54774437719be9353115b,IDENTICAL,
PX123099.1,True,True,603,603,True,6b75a51f2bbab668f639251ffda717d4402a77ac5ac9a98ee9e4f33dde39cd62,6b75a51f2bbab668f639251ffda717d4402a77ac5ac9a98ee9e4f33dde39cd62,IDENTICAL,
PX123098.1,True,True,603,603,True,30b1e302e6f0ec70258aac75dd4b895333b758e9aa1d01d0fe86a9ef0df14522,30b1e302e6f0ec70258aac75dd4b895333b758e9aa1d01d0fe86a9ef0df14522,IDENTICAL,
PX123097.1,True,True,603,603,True,b0c1fecab643b51e09c903e35dc8b556ecff691ac72c2f80bd0992f73e1464c3,b0c1fecab643b51e09c903e35dc8b556ecff691ac72c2f80bd0992f73e1464c3,IDENTICAL,
PX123096.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123094.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123093.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123092.1,True,True,603,603,True,7803e4aad5ff72d5bf3d4a1d982456785f98bf3d65b286e5b893473f5a3fc650,7803e4aad5ff72d5bf3d4a1d982456785f98bf3d65b286e5b893473f5a3fc650,IDENTICAL,
PX123091.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123090.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123089.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123088.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123087.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123085.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123084.1,True,True,603,603,True,b314dc4d1b760548a43ab2b6d57aff65772a7640cec08308cdc13287eed1e8a7,b314dc4d1b760548a43ab2b6d57aff65772a7640cec08308cdc13287eed1e8a7,IDENTICAL,
PX123083.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123082.1,True,True,603,603,True,b1aa3d55a85ee24cebf11c175abbcebd5ee39945835f13f1fd3f76ea7a3deac5,b1aa3d55a85ee24cebf11c175abbcebd5ee39945835f13f1fd3f76ea7a3deac5,IDENTICAL,
PX123081.1,True,True,603,603,True,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,20b5313ea7ef3dd7076278f01d806dac6ea80aa7648bcad90073879ab6fa0b38,IDENTICAL,
PX123080.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123079.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123078.1,True,True,603,603,True,53b94d749b1f7477efe51e8032a75b7e8977759e74880837778313cec999b0c7,53b94d749b1f7477efe51e8032a75b7e8977759e74880837778313cec999b0c7,IDENTICAL,
PX123077.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123076.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123075.1,True,True,603,603,True,53b94d749b1f7477efe51e8032a75b7e8977759e74880837778313cec999b0c7,53b94d749b1f7477efe51e8032a75b7e8977759e74880837778313cec999b0c7,IDENTICAL,
PX123073.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123072.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123071.1,True,True,600,600,True,3c442cbc1324b0b37d29980d5961993b15c6be8199804251e8c176cdb2f82519,3c442cbc1324b0b37d29980d5961993b15c6be8199804251e8c176cdb2f82519,IDENTICAL,
PX123070.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123069.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123068.1,True,True,603,603,True,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,4f5f86b3278ba8fbf9df92b22c0f6afac7a8da158f8c6024aa02fb2fb2615417,IDENTICAL,
PX123067.1,True,True,603,603,True,5a1f37eb5c103fe8ab63352647efcbcd10027bb847b77698fac2609721941f7d,5a1f37eb5c103fe8ab63352647efcbcd10027bb847b77698fac2609721941f7d,IDENTICAL,
PV958076.1,True,True,603,603,True,b6f82d85caf099a37b581f0b7f6daf495c14544d637b5eb30bf9c4748d1a7204,b6f82d85caf099a37b581f0b7f6daf495c14544d637b5eb30bf9c4748d1a7204,IDENTICAL,
PV958075.1,True,True,603,603,True,12e78f4a82a83393ffab068cfcd84555d00fe3d498b0b2cb6eaaf451e76db518,12e78f4a82a83393ffab068cfcd84555d00fe3d498b0b2cb6eaaf451e76db518,IDENTICAL,
PV958074.1,True,True,603,603,True,c762fc02a9a8efa8f339203c9749820fbe9e05239ecc606a8cd05a7e61671a4d,c762fc02a9a8efa8f339203c9749820fbe9e05239ecc606a8cd05a7e61671a4d,IDENTICAL,
PV958073.1,True,True,603,603,True,8c4c54dda637b5ff7a348917734552cb7ef86a36f8b5ee8cebb58e93ec85fac7,8c4c54dda637b5ff7a348917734552cb7ef86a36f8b5ee8cebb58e93ec85fac7,IDENTICAL,
PV958072.1,True,True,603,603,True,16cb01d0eaf50d18351e794a24733c89a1af07030afaec78cb41d2a4cfc07e2e,16cb01d0eaf50d18351e794a24733c89a1af07030afaec78cb41d2a4cfc07e2e,IDENTICAL,
