id,organism,country,collection_date,host,gene,prrsv_type,length,date_cached,metadata_completeness
OR540433.1,"['OR540433.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
OR540432.1,"['OR540432.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540431.1,"['OR540431.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,600,2026-01-03 15:20:08,0.75
OR540430.1,"['OR540430.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540429.1,"['OR540429.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540428.1,"['OR540428.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540427.1,"['OR540427.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540426.1,"['OR540426.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,600,2026-01-03 15:20:08,0.75
OR540425.1,"['OR540425.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540424.1,"['OR540424.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
PX123104.1,"['PX123104.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123103.1,"['PX123103.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123102.1,"['PX123102.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123101.1,"['PX123101.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123100.1,"['PX123100.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123099.1,"['PX123099.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123098.1,"['PX123098.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123097.1,"['PX123097.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123096.1,"['PX123096.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123094.1,"['PX123094.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123093.1,"['PX123093.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123092.1,"['PX123092.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123091.1,"['PX123091.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123090.1,"['PX123090.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123089.1,"['PX123089.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123088.1,"['PX123088.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123087.1,"['PX123087.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123085.1,"['PX123085.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123084.1,"['PX123084.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123083.1,"['PX123083.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123082.1,"['PX123082.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123081.1,"['PX123081.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123080.1,"['PX123080.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123079.1,"['PX123079.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123078.1,"['PX123078.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123077.1,"['PX123077.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123076.1,"['PX123076.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123075.1,"['PX123075.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123073.1,"['PX123073.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123072.1,"['PX123072.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123071.1,"['PX123071.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,600,2026-01-03 15:20:08,0.75
PX123070.1,"['PX123070.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123069.1,"['PX123069.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123068.1,"['PX123068.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PX123067.1,"['PX123067.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PV958076.1,"['PV958076.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PV958075.1,"['PV958075.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PV958074.1,"['PV958074.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PV958073.1,"['PV958073.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
PV958072.1,"['PV958072.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type II,603,2026-01-03 15:20:08,0.75
