accession,pipeline_type,record_description,organism,source_text,type_I_evidence,type_II_evidence,status,error
OR540448.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YA02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YA02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=25-Jan-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540447.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YA01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YA01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=26-Oct-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540446.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NJ04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NJ04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Nov-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540445.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NJ03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NJ03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=25-Jun-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540444.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NJ02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NJ02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=12-May-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540443.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NJ01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NJ01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=14-Sep-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540442.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NC04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NC04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Dec-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540441.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NC03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NC03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=03-Jan-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540440.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NC02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NC02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=09-Apr-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540439.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-NC01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-NC01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=15-Aug-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540438.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MY05 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MY05 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=12-Jun-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540437.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MY04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MY04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=07-May-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540436.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MY03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MY03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=24-Apr-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540435.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MY02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MY02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=28-Feb-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540434.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MY01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MY01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Jan-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540433.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MS05 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MS05 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=26-Oct-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540432.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MS04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MS04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=13-Aug-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540431.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MS03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MS03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=09-Jun-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540430.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MS02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MS02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=26-Nov-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540429.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-MS01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-MS01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=16-Mar-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540428.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-LSZ02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-LSZ02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Nov-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540427.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-LSZ01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-LSZ01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=05-Jan-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540426.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-LS03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-LS03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Apr-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540425.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-LS02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-LS02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=22-Aug-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540424.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-LS01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-LS01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=23-Dec-2021,False,False,NO_DIRECT_TYPE_TEXT,
PX123104.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-38 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-38 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=08-Jun-2025,False,True,SUPPORTED,
PX123103.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-37 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-37 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-Jun-2025,False,True,SUPPORTED,
PX123102.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-36 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-36 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=05-Jun-2025,False,True,SUPPORTED,
PX123101.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-35 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-35 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=08-May-2025,False,True,SUPPORTED,
PX123100.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-34 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-34 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=05-May-2025,False,True,SUPPORTED,
PX123099.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-33 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-33 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-Apr-2025,False,True,SUPPORTED,
PX123098.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-32 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-32 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=06-Apr-2025,False,True,SUPPORTED,
PX123097.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-31 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-31 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=01-Mar-2025,False,True,SUPPORTED,
PX123096.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-30 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-30 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=01-Mar-2025,False,True,SUPPORTED,
PX123094.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-28 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-28 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=20-Jan-2025,False,True,SUPPORTED,
PX123093.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-27 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-27 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-Jan-2025,False,True,SUPPORTED,
PX123092.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-26 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-26 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=05-Jan-2025,False,True,SUPPORTED,
PX123091.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-25 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-25 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=03-Jan-2025,False,True,SUPPORTED,
PX123090.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-24 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-24 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=30-Dec-2024,False,True,SUPPORTED,
PX123089.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-23 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-23 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=27-Dec-2024,False,True,SUPPORTED,
PX123088.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-22 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-22 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=20-Dec-2024,False,True,SUPPORTED,
PX123087.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-21 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-21 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-Dec-2024,False,True,SUPPORTED,
PX123085.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-19 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-19 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=20-Nov-2024,False,True,SUPPORTED,
PX123084.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-18 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-18 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=23-Nov-2024,False,True,SUPPORTED,
PX123083.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-17 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-17 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=13-Nov-2024,False,True,SUPPORTED,
PX123082.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-16 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-16 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=22-Oct-2024,False,True,SUPPORTED,
PX123081.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-15 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-15 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=01-Sep-2024,False,True,SUPPORTED,
PX123080.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-14 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-14 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=19-Aug-2024,False,True,SUPPORTED,
PX123079.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-13 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-13 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=18-Jul-2024,False,True,SUPPORTED,
PX123078.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-12 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-12 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=27-Jun-2024,False,True,SUPPORTED,
PX123077.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-11 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-11 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=18-May-2024,False,True,SUPPORTED,
