n,accession,status,record_length,cds_count,orf5_count,orf5_locations,orf5_lengths,orf5_products,error
51,PX123093.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
52,PX123092.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
53,PX123091.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
54,PX123090.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
55,PX123089.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
56,PX123088.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
57,PX123087.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
58,PX123085.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
59,PX123084.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
60,PX123083.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
61,PX123082.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
62,PX123081.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
63,PX123080.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
64,PX123079.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
65,PX123078.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
66,PX123077.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
67,PX123076.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
68,PX123075.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
69,PX123073.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
70,PX123072.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
71,PX123071.1,OK,600,1,1,[0:600](+),600,envelope glycoprotein 5,
72,PX123070.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
73,PX123069.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
74,PX123068.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
75,PX123067.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
76,PV958076.1,OK,603,1,1,[0:603](+),603,glycosylated envelope protein,
77,PV958075.1,OK,603,1,1,[0:603](+),603,glycosylated envelope protein,
78,PV958074.1,OK,603,1,1,[0:603](+),603,glycosylated envelope protein,
79,PV958073.1,OK,603,1,1,[0:603](+),603,glycosylated envelope protein,
80,PV958072.1,OK,603,1,1,[0:603](+),603,glycosylated envelope protein,
